StaTerr,year,chpov,caseworkers,supervisors,caseworker_capacity,supervisor_capacity,screened_in_reports
AK,2005,25976,179,52,6.89097628580228,2.001847859562673,5618
AK,2006,25804,198,55,7.673228956750891,2.131452487986359,5359
AK,2007,23356,219,58,9.376605583147798,2.4833019352628876,6197
AK,2008,21872,232,76,10.607168983174835,3.474762253108998,6077
AK,2009,22221,222,62,9.990549480221413,2.7901534584402143,6112
AK,2010,27209,211,65,7.754787019001065,2.3889154323936936,5836
AK,2011,27192,199,62,7.318328920270668,2.2800823771697556,5994
AK,2012,28125,233,60,8.2844444444444445,2.1333333333333333,6260
AK,2013,25030,244,62,9.748302037554934,2.477027566919696,7313
AK,2014,28273,242,67,8.559402963958547,2.3697520602695152,7855
AK,2015,26564,240,69,9.034783918084624,2.59750037644933,3597
AL,2005,260919,563,201,2.157757771568954,0.7703540179136054,18249
AL,2006,253314,601,194,2.3725494840395713,0.7658479199728401,18676
AL,2007,261151,542,200,2.0754276261626416,0.7658404524585394,19572
AL,2008,244661,550,199,2.2480084688609954,0.8133703369151601,19798
AL,2009,274243,614,209,2.2388903271915783,0.7620978475293809,19012
AL,2010,305292,589,211,1.9293004729897933,0.6911415955871756,19278
AL,2011,307310,558,204,1.81575607692558,0.6638248023168788,19220
AL,2012,306451,586,214,1.9122143507444909,0.6983171861080564,19484
AL,2013,300649,546,207,1.8160712325668802,0.6885105222368941,20213
AL,2014,298682,544,213,1.821335065387268,0.713133031116706,21019
AL,2015,288450,527,210,1.827006413589877,0.7280291211648466,11314
AR,2004,153124,377,122,2.4620568950654373,0.7967398970768789,21900
AR,2005,165059,415,137,2.5142524794164514,0.8300062401929007,24219
AR,2006,166630,448,140,2.6885914901278283,0.8401848406649463,25940
AR,2007,173939,449,133,2.5813647313138515,0.7646358780951943,27549
AR,2008,170833,399,134,2.335614313393782,0.7843917744229745,28485
AR,2009,185268,425,141,2.2939741347669322,0.7610596541226763,32317
AR,2010,190538,466,150,2.445706368283492,0.7872445391470467,33807
AR,2011,194242,435,128,2.239474469991042,0.6589717980663297,34230
AR,2012,196464,457,117,2.3261259060184054,0.5955289518690448,35814
AR,2013,197129,464,125,2.3537886358678834,0.6341025419902704,32612
AR,2014,183334,465,131,2.536354413256679,0.7145428562077956,33476
AR,2015,182238,436,139,2.392475773439129,0.7627388360276123,20776
AZ,2004,338384,670,224,1.9799990543288097,0.6619698330890349,36540
AZ,2005,323003,712,253,2.204313891821438,0.7832744587511571,35243
AZ,2006,316241,749,259,2.36844684908029,0.8189956394015956,31859
AZ,2007,327941,730,247,2.22601016646287,0.7531842618031902,33679
AZ,2008,347462,797,241,2.2937760100385076,0.6936010268748813,32818
AZ,2009,396006,747,215,1.8863350555294618,0.5429210668525225,30318
AZ,2010,401664,660,191,1.6431644359464626,0.47552182919056724,31094
AZ,2011,434571,797,235,1.8339926042004644,0.5407631894443026,35685
AZ,2012,430378,960,239,2.2305972888948786,0.5553257833811208,39625
AZ,2013,422435,1062,253,2.51399623610733,0.5989087078485448,40392
AZ,2014,406457,1190,274,2.9277389736183657,0.6741180493877581,41588
AZ,2015,394337,1186,288,3.0075798111767345,0.7303397855134061,17619
CA,2004,1809423,4740,NA,2.61961962459856,NA,232734
