StaTerr,year,lower.turnover.caseworker,upper.turnover.caseworker,turnover.supervisor
AK,2006,0.139664804,0.201117318,0.134615385
AK,2007,0.171717172,0.237373737,0.181818182
AK,2008,0.091324201,0.273972603,0.293103448
AK,2009,0.25862069,0.280172414,0.210526316
AK,2010,0.247747748,0.342342342,0.274193548
AK,2011,0.18957346,0.28436019,0.338461538
AK,2012,0.206030151,0.266331658,0.225806452
AK,2013,0.261802575,0.309012876,0.1
AK,2014,0.25,0.31557377,0.129032258
AK,2015,0.20661157,0.297520661,0.23880597
AL,2006,0.124333925,0.198934281,0.179104478
AL,2007,0.204658902,0.31281198,0.195876289
AL,2008,0.103321033,0.217712177,0.2
AL,2010,0.143322476,0.231270358,0.19138756
AL,2011,0.154499151,0.241086587,0.218009479
AL,2012,0.103942652,0.213261649,0.166666667
AL,2013,0.187713311,0.278156997,0.219626168
AL,2014,0.157509158,0.269230769,0.202898551
AL,2015,0.110294118,0.257352941,0.215962441
AR,2004,0.044164038,0.1829653,0.153153153
AR,2005,0.084880637,0.220159151,0.180327869
AR,2006,0.118072289,0.236144578,0.255474453
AR,2007,0.198660714,0.272321429,0.25
AR,2008,0.240534521,0.311804009,0.195488722
AR,2009,0.125313283,0.215538847,0.149253731
AR,2010,0.136470588,0.225882353,0.177304965
AR,2011,0.248927039,0.287553648,0.246666667
AR,2012,0.216091954,0.257471264,0.2109375
AR,2013,0.214442013,0.284463895,0.162393162
AR,2014,0.213362069,0.271551724,0.128
AR,2015,0.217204301,0.288172043,0.122137405
AZ,2004,0,0.133333333,0.305555556
AZ,2005,0.044776119,0.207462687,0.272321429
AZ,2006,0.119382022,0.25,0.304347826
AZ,2007,0.146862483,0.271028037,0.332046332
AZ,2008,0.138356164,0.254794521,0.311740891
AZ,2009,0.210790464,0.273525721,0.282157676
AZ,2010,0.259705489,0.317269076,0.293023256
AZ,2011,0.039393939,0.189393939,0.267015707
AZ,2012,0.114178168,0.209535759,0.263829787
AZ,2013,0.158333333,0.248958333,0.284518828
AZ,2014,0.161016949,0.252354049,0.245059289
AZ,2015,0.178151261,0.261344538,0.229927007
CA,2004,NA,0.116627932,NA
CA,2005,NA,0.183333333,NA
CA,2006,0.188550755,0.227708023,0.270907791
CA,2007,0.090710383,0.310382514,0.120138289
CA,2008,0.130516236,0.222314738,0.144025157
CA,2009,0.147860738,0.231963087,0.139578164
CA,2010,0.111967362,0.21532185,0.146296296
CA,2011,0.101683502,0.200224467,0.174969623
CA,2012,0.139088729,0.22236756,0.14224924
CA,2013,0.11368804,0.210095498,0.149000606
CA,2014,0.108824874,0.221993599,0.14684466
CA,2015,0.09571263,0.221784473,0.159976034
CO,2004,0.119798235,0.201765448,0.179104478
CO,2005,0.171182266,0.253694581,0.190298507
CO,2006,0.123831776,0.216121495,0.181818182
CO,2007,0.170168067,0.254201681,0.180147059
CO,2008,0.142099682,0.236479321,0.164912281
CO,2009,0.27693857,0.330312185,0.232026144
CO,2010,0.191827469,0.256526674,0.237410072
CO,2011,0.052631579,0.260651629,0.22745098
CO,2012,0.133004926,0.272167488,0.218461538
CO,2013,0.061170213,0.239361702,0.232142857
CO,2014,0,0.255235602,0.222222222
CO,2015,0,0.293187348,0.266821346
CT,2004,0.074509804,0.126470588,0.078571429
CT,2005,0.156101426,0.178288431,0.101616628
CT,2006,0.1485623,0.158945687,0.084541063
CT,2007,0.14084507,0.158059468,0.08974359
CT,2008,0.115113547,0.148003132,0.159574468
CT,2009,0.13255814,0.142635659,0.096045198
CT,2010,0.123801917,0.142971246,0.114803625
CT,2011,0.077716098,0.091197462,0.085987261
CT,2012,0.046566693,0.159431728,0.196013289
CT,2013,0.233948339,0.268634686,0.365921788
CT,2014,0.03271028,0.111214953,0.166051661
CT,2015,0.124783362,0.175909879,0.245098039
DC,2004,0.073170732,0.134146341,0.227272727
DC,2005,0.161616162,0.262626263,0.285714286
DC,2006,0.279569892,0.35483871,0.36
DC,2007,0.036144578,0.072289157,0.15
DC,2008,0,0.068181818,0.210526316
DC,2014,0.1015625,0.15625,0.285714286
DC,2015,0.08,0.136,0.25
DE,2004,0.101449275,0.173913043,0.129032258
DE,2006,0.013513514,0.175675676,0.208333333
DE,2007,0.052631579,0.171052632,0.321428571
DE,2008,0.151898734,0.202531646,0.230769231
DE,2009,0.076923077,0.205128205,0.227272727
DE,2010,0,0.178571429,0.230769231
DE,2011,0.129032258,0.247311828,0.323529412
DE,2012,0.121212121,0.202020202,0.35483871
DE,2013,0.12,0.22,0.153846154
DE,2014,0.152173913,0.217391304,0.285714286
DE,2015,0.0625,0.1625,0.125
FL,2004,0.567056396,0.59869326,0.720496894
FL,2005,0.341754051,0.389418494,0.348659004
FL,2006,0.344711538,0.412980769,0.459770115
FL,2008,0.213069742,0.244371225,0.147286822
FL,2009,0.185959271,0.262593783,0.015625
FL,2010,0.183733177,0.207138678,0.40874036
FL,2011,0.197183099,0.232676056,0.223484848
